lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
fer,5659,17687,VERB,23346,5659,0.24239698449413175,True,0.8141511678695679,11.609108924865723,11.49730110168457
donar,8592,6099,NOUN,14691,6099,0.41515213395956707,True,0.5828266143798828,10.383207321166992,11.290999412536621
anar,6636,6928,VERB,13564,6636,0.48923621350634033,True,0.706570565700531,11.282573699951172,12.384483337402344
forma,5786,5971,VERB,11757,5786,0.49213234668708006,True,0.7153844833374023,9.739203453063965,11.19131088256836
obra,7640,1164,NOUN,8804,1164,0.13221263062244434,True,0.5493736863136292,9.422276496887207,9.031454086303711
estar,6288,2088,NOUN,8376,2088,0.2492836676217765,True,0.679620623588562,11.375892639160156,10.613136291503906
portar,3840,3140,NOUN,6980,3140,0.4498567335243553,True,0.7352787256240845,10.26582145690918,11.401653289794922
mort,3368,3205,NOUN,6573,3205,0.48760079111516813,True,0.8346527814865112,8.679150581359863,8.963577270507812
dir,1582,3844,VERB,5426,1582,0.2915591596019167,True,0.748879075050354,9.950228691101074,11.542594909667969
passar,391,4433,VERB,4824,391,0.0810530679933665,True,0.7555631399154663,9.539103507995605,10.868491172790527
mostrar,552,3784,VERB,4336,552,0.12730627306273062,True,0.6616709232330322,9.430109977722168,9.278679847717285
tornar,267,3473,VERB,3740,267,0.07139037433155081,True,0.8450864553451538,8.808902740478516,9.470044136047363
estudiar,736,2986,VERB,3722,736,0.19774314884470715,True,0.7164402604103088,7.599034309387207,11.865848541259766
causa,3046,646,NOUN,3692,646,0.17497291440953414,True,0.7330797910690308,10.293238639831543,10.025344848632812
cas,3374,222,NOUN,3596,222,0.06173526140155729,True,0.6280764937400818,9.584965705871582,8.118072509765625
tractar,815,2707,VERB,3522,815,0.23140261215218627,True,0.5977442264556885,8.107778549194336,10.15621280670166
seguir,226,3076,VERB,3302,226,0.06844336765596608,True,0.6591687202453613,8.950235366821289,11.203163146972656
participar,215,3010,VERB,3225,215,0.06666666666666667,True,0.7655503749847412,7.9390034675598145,10.148208618164062
conèixer,355,2759,VERB,3114,355,0.11400128452151574,True,0.8179780840873718,9.541203498840332,10.735111236572266
resta,2683,386,NOUN,3069,386,0.1257738677093516,True,0.802973747253418,9.696152687072754,9.346179962158203
força,2762,238,NOUN,3000,238,0.07933333333333334,True,0.736373782157898,9.501114845275879,9.031379699707031
escriure,399,2499,VERB,2898,399,0.13768115942028986,True,0.7973343729972839,8.02370834350586,10.169118881225586
voler,515,2084,VERB,2599,515,0.1981531358214698,True,0.6623008251190186,8.037002563476562,11.049722671508789
prendre,193,2400,VERB,2593,193,0.07443116081758581,True,0.696757435798645,8.66259479522705,10.912384033203125
representant,621,1882,VERB,2503,621,0.24810227726727926,True,0.7317547798156738,8.196244239807129,10.198559761047363
resultat,1845,598,NOUN,2443,598,0.2447810069586574,True,0.6898801326751709,9.71101188659668,10.021539688110352
creure,351,1455,VERB,1806,351,0.19435215946843853,True,0.6952570676803589,7.107708930969238,10.936266899108887
ajuda,762,1026,VERB,1788,762,0.4261744966442953,True,0.8172824382781982,8.695111274719238,9.672502517700195
defensar,961,797,NOUN,1758,797,0.4533560864618885,True,0.8871410489082336,8.479924201965332,8.863357543945312
parlar,255,1449,VERB,1704,255,0.14964788732394366,True,0.8523989319801331,7.807852745056152,9.611011505126953
figura,1336,320,NOUN,1656,320,0.1932367149758454,True,0.7987123131752014,8.695537567138672,9.726022720336914
lluita,938,688,NOUN,1626,688,0.4231242312423124,True,0.8996868133544922,8.927666664123535,8.747648239135742
disputar,242,1350,VERB,1592,242,0.15201005025125627,True,0.6689276695251465,7.95495080947876,11.862552642822266
marcar,730,793,VERB,1523,730,0.479317137229153,True,0.7579075694084167,8.527411460876465,9.836204528808594
sentit,939,573,NOUN,1512,573,0.37896825396825395,True,0.6095377802848816,8.393492698669434,10.633888244628906
data,1262,216,NOUN,1478,216,0.14614343707713126,True,0.8366959095001221,9.821216583251953,8.308730125427246
sol,421,985,VERB,1406,421,0.29943100995732574,True,0.701813817024231,7.377411842346191,9.525636672973633
integrar,114,1288,VERB,1402,114,0.08131241084165478,True,0.5214155912399292,7.040619850158691,9.726972579956055
necessitat,714,550,NOUN,1264,550,0.435126582278481,True,0.9333014488220215,8.943987846374512,9.434823989868164
significar,283,931,VERB,1214,283,0.23311367380560133,True,0.8200287818908691,8.02890396118164,9.579562187194824
cantant,732,446,NOUN,1178,446,0.37860780984719866,True,0.7760001420974731,7.825617790222168,8.692578315734863
cobrir,476,625,VERB,1101,476,0.4323342415985468,True,0.5148245096206665,7.651702404022217,10.84310531616211
treure,629,453,NOUN,1082,453,0.41866913123844735,True,0.8017187714576721,8.883026123046875,9.690071105957031
estrenar,344,717,VERB,1061,344,0.3242224316682375,True,0.9553441405296326,8.14406681060791,9.091508865356445
resposta,617,405,NOUN,1022,405,0.39628180039138944,True,0.7570304274559021,8.308196067810059,9.44045639038086
córrer,601,414,NOUN,1015,414,0.40788177339901477,True,0.6195703744888306,8.36671257019043,10.772747039794922
combatre,671,296,NOUN,967,296,0.30610134436401243,True,0.8391181826591492,8.208977699279785,8.017499923706055
visita,427,514,VERB,941,427,0.4537725823591923,True,0.8260775804519653,8.116135597229004,8.816282272338867
compondre,142,761,VERB,903,142,0.15725359911406422,True,0.811855137348175,8.738197326660156,10.97563362121582
assassinat,464,422,NOUN,886,422,0.4762979683972912,True,0.8909567594528198,7.188816547393799,9.131269454956055
llançar,75,800,VERB,875,75,0.08571428571428572,True,0.8843777179718018,8.432887077331543,9.496199607849121
recollir,169,692,VERB,861,169,0.19628339140534262,True,0.9548212289810181,9.129996299743652,9.997529029846191
restaurant,445,411,NOUN,856,411,0.48014018691588783,True,0.7648286819458008,9.3241548538208,10.808131217956543
millora,348,496,VERB,844,348,0.41232227488151657,True,0.9201701879501343,8.155715942382812,8.005736351013184
deure,112,675,VERB,787,112,0.1423125794155019,True,0.6444613933563232,8.345287322998047,12.138504028320312
escollir,139,643,VERB,782,139,0.17774936061381075,True,0.8254913091659546,8.800788879394531,9.398887634277344
esperar,92,678,VERB,770,92,0.11948051948051948,True,0.8534274697303772,7.729192733764648,9.928644180297852
governar,193,576,VERB,769,193,0.25097529258777634,True,0.9165410399436951,7.287810325622559,7.6145830154418945
adquirir,61,669,VERB,730,61,0.08356164383561644,True,0.7990883588790894,8.083691596984863,10.207113265991211
gira,418,297,NOUN,715,297,0.4153846153846154,True,0.7595542073249817,8.416842460632324,8.617602348327637
contracte,498,208,NOUN,706,208,0.29461756373937675,True,0.8533574342727661,7.11207389831543,7.14234733581543
guany,93,610,VERB,703,93,0.13229018492176386,True,0.7898699045181274,8.04863452911377,10.479497909545898
encarregar,136,562,VERB,698,136,0.19484240687679083,True,0.9462577700614929,8.749730110168457,8.859856605529785
tancar,104,576,VERB,680,104,0.15294117647058825,True,0.8438087701797485,7.8313889503479,8.346588134765625
torn,416,264,NOUN,680,264,0.38823529411764707,True,0.7078181505203247,8.190485954284668,8.781590461730957
