lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
del,13890,1184,NOUN,15074,1184,0.07854584052010083,True,0.6730690002441406,10.418171882629395,9.321389198303223
spille,2796,12180,VERB,14976,2796,0.18669871794871795,True,0.8131847381591797,10.292261123657227,10.359912872314453
bruge,2767,8001,VERB,10768,2767,0.25696508172362553,True,0.8252522349357605,9.127302169799805,9.685336112976074
navn,8893,573,NOUN,9466,573,0.06053243186139869,True,0.8287653923034668,10.339670181274414,7.0021562576293945
vinde,764,8156,VERB,8920,764,0.08565022421524664,True,0.7988232374191284,10.149567604064941,9.570728302001953
tage,939,7824,VERB,8763,939,0.10715508387538514,True,0.7872368097305298,8.744539260864258,10.686375617980957
se,486,7968,VERB,8454,486,0.057487579843860895,True,0.687896728515625,10.953495025634766,11.89480972290039
holde,4749,3665,NOUN,8414,3665,0.4355835512241502,True,0.6826257109642029,9.751996994018555,9.527717590332031
dør,4048,4073,VERB,8121,4048,0.498460780692033,True,0.8841807842254639,9.302910804748535,9.532647132873535
arbejde,3334,3858,VERB,7192,3334,0.4635706340378198,True,0.9340939521789551,8.63913345336914,8.709773063659668
finde,403,6568,VERB,6971,403,0.05781093099985655,True,0.6069062948226929,8.285615921020508,9.985335350036621
følge,1466,5371,VERB,6837,1466,0.2144215299107796,True,0.7292582988739014,9.822835922241211,10.428750038146973
løb,3171,1513,NOUN,4684,1513,0.3230145175064048,True,0.7126265168190002,11.116425514221191,10.035011291503906
deltage,635,3986,VERB,4621,635,0.1374161436918416,True,0.898044764995575,8.512808799743652,9.60033893585205
sætte,361,3199,VERB,3560,361,0.10140449438202247,True,0.6864238977432251,8.730363845825195,11.635050773620605
leder,2055,1308,NOUN,3363,1308,0.38893844781445136,True,0.8534097671508789,9.129717826843262,10.557862281799316
rejse,1121,2067,VERB,3188,1121,0.3516311166875784,True,0.9442021250724792,8.625056266784668,9.208571434020996
vej,2908,279,NOUN,3187,279,0.08754314402259178,True,0.7754886150360107,8.733903884887695,7.981320858001709
hus,2538,396,NOUN,2934,396,0.13496932515337423,True,0.8825480937957764,8.805500030517578,8.834877967834473
modtage,229,2696,VERB,2925,229,0.07829059829059828,True,0.9049035310745239,9.367338180541992,9.336069107055664
tale,1280,1623,VERB,2903,1280,0.44092318291422666,True,0.8275282382965088,8.477385520935059,10.021058082580566
synge,2212,595,NOUN,2807,595,0.2119700748129676,True,0.7144166827201843,7.607691764831543,8.967170715332031
ende,1117,1528,VERB,2645,1117,0.4223062381852552,True,0.7181821465492249,9.53396224975586,9.893257141113281
møde,843,1671,VERB,2514,843,0.3353221957040573,True,0.8913175463676453,9.09043025970459,9.748663902282715
styrke,2143,366,NOUN,2509,366,0.14587485053806298,True,0.7135465145111084,7.9694976806640625,8.622513771057129
grænse,1973,512,NOUN,2485,512,0.20603621730382293,True,0.9088388681411743,8.747170448303223,6.938063621520996
støtte,1219,1257,VERB,2476,1219,0.49232633279483035,True,0.90946364402771,7.484620571136475,7.8475494384765625
angreb,2013,454,NOUN,2467,454,0.18402918524523712,True,0.9421105980873108,7.730144023895264,7.89390754699707
bo,132,2290,VERB,2422,132,0.054500412881915775,True,0.9026122093200684,9.675592422485352,8.832091331481934
skifte,230,2127,VERB,2357,230,0.0975816716164616,True,0.9325892925262451,8.95374584197998,9.059465408325195
nævne,118,2208,VERB,2326,118,0.05073086844368014,True,0.9637835025787354,10.73154067993164,9.966612815856934
eje,755,1455,VERB,2210,755,0.3416289592760181,True,0.935222864151001,7.859465599060059,8.459395408630371
omfatte,131,2042,VERB,2173,131,0.06028531983433042,True,0.9545519351959229,9.334478378295898,10.445710182189941
f.kr,1742,427,NOUN,2169,427,0.19686491470723835,True,0.8871405124664307,9.014311790466309,7.301156044006348
stamme,683,1468,VERB,2151,683,0.31752673175267315,True,0.8358357548713684,8.969326972961426,9.142062187194824
lade,307,1797,VERB,2104,307,0.14591254752851712,True,0.9112828969955444,8.977903366088867,9.976188659667969
lære,1109,992,NOUN,2101,992,0.4721561161351737,True,0.8729891777038574,9.402387619018555,10.515096664428711
ønske,412,1613,VERB,2025,412,0.2034567901234568,True,0.955683171749115,8.547600746154785,8.952282905578613
køre,161,1851,VERB,2012,161,0.08001988071570576,True,0.979762852191925,8.708440780639648,9.138285636901855
krone,1831,130,NOUN,1961,130,0.06629270780214176,True,0.7564210891723633,9.775803565979004,7.583327293395996
studere,227,1712,VERB,1939,227,0.11707065497679216,True,0.9246485233306885,7.829809665679932,8.850530624389648
samarbejde,1404,458,NOUN,1862,458,0.24597207303974222,True,0.9643793106079102,8.659832000732422,8.126173973083496
producere,168,1671,VERB,1839,168,0.09135399673735727,True,0.9854177832603455,9.022913932800293,8.588177680969238
ret,1401,369,NOUN,1770,369,0.20847457627118643,True,0.6755666732788086,9.028282165527344,8.239855766296387
stemme,1222,503,NOUN,1725,503,0.2915942028985507,True,0.8007214665412903,8.595976829528809,8.5396089553833
tilfælde,1451,194,NOUN,1645,194,0.11793313069908815,True,0.9029610753059387,9.090719223022461,8.629966735839844
tabe,114,1490,VERB,1604,114,0.07107231920199501,True,0.8818378448486328,9.583426475524902,8.78608226776123
medvirke,79,1499,VERB,1578,79,0.050063371356147024,True,0.9707804918289185,9.078798294067383,9.404146194458008
fordel,880,662,NOUN,1542,662,0.4293125810635538,True,0.5440199375152588,8.50657844543457,8.65425968170166
hedde,180,1350,VERB,1530,180,0.11764705882352941,True,0.9661215543746948,8.530445098876953,8.954793930053711
søge,78,1451,VERB,1529,78,0.051013734466971876,True,0.9329167604446411,7.922430992126465,9.518146514892578
dække,105,1380,VERB,1485,105,0.0707070707070707,True,0.9688801765441895,9.19188117980957,9.420757293701172
ramme,357,1080,VERB,1437,357,0.24843423799582465,True,0.8728876113891602,7.4425177574157715,9.02534294128418
bære,232,1198,VERB,1430,232,0.16223776223776223,True,0.751974880695343,10.379334449768066,9.846529006958008
hav,1274,117,NOUN,1391,117,0.08411214953271028,True,0.9455753564834595,8.838839530944824,8.866379737854004
styre,455,911,VERB,1366,455,0.3330893118594436,True,0.8876842260360718,7.343739986419678,7.996056079864502
bryde,222,1099,VERB,1321,222,0.1680545041635125,True,0.9549983739852905,8.524116516113281,8.897712707519531
rige,1247,70,NOUN,1317,70,0.05315110098709187,True,0.9587264060974121,8.864579200744629,7.664165496826172
forsvar,930,376,NOUN,1306,376,0.2879019908116386,True,0.9439420700073242,8.938858985900879,8.315865516662598
omtale,185,1116,VERB,1301,185,0.14219830899308225,True,0.8494149446487427,8.68088150024414,10.73373031616211
hjælpe,85,1215,VERB,1300,85,0.06538461538461539,True,0.9193105697631836,8.179606437683105,9.114469528198242
mangle,406,873,VERB,1279,406,0.3174354964816263,True,0.7669708728790283,8.976905822753906,8.003463745117188
virke,270,966,VERB,1236,270,0.21844660194174756,True,0.9433236718177795,8.48316478729248,9.01478099822998
udtryk,1067,168,NOUN,1235,168,0.1360323886639676,True,0.952946126461029,8.995123863220215,7.047825336456299
handle,115,1118,VERB,1233,115,0.09326845093268452,True,0.912569522857666,9.333662986755371,9.0457763671875
fange,699,502,NOUN,1201,502,0.417985012489592,True,0.9343885183334351,9.13144302368164,8.280435562133789
stoppe,256,942,VERB,1198,256,0.21368948247078465,True,0.8760003447532654,7.8373799324035645,8.946414947509766
begreb,1081,113,NOUN,1194,113,0.09463986599664992,True,0.9703472852706909,9.794038772583008,7.355450630187988
