lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
hacer,7754,13890,VERB,21644,7754,0.35825170948068746,True,0.7207167148590088,10.395630836486816,10.963791847229004
forma,7920,4687,NOUN,12607,4687,0.37177758388197035,True,0.6777784824371338,9.622513771057129,10.631986618041992
ser,4318,7052,VERB,11370,4318,0.3797713280562885,True,0.7498853206634521,12.665002822875977,11.96533203125
encontrar,776,9965,VERB,10741,776,0.07224653198026254,True,0.6495345830917358,9.377169609069824,10.373186111450195
dar,1531,8423,VERB,9954,1531,0.15380751456700822,True,0.6993727684020996,10.239151000976562,11.895763397216797
estar,5409,2986,NOUN,8395,2986,0.35568790946992257,True,0.7137982845306396,10.3954439163208,11.132782936096191
llegar,902,7077,VERB,7979,902,0.11304674771274596,True,0.7391160726547241,7.518750190734863,9.952085494995117
pasar,2806,4749,VERB,7555,2806,0.371409662475182,True,0.7833757400512695,10.328789710998535,10.678317070007324
contar,1766,4765,VERB,6531,1766,0.27040269483999385,True,0.7853598594665527,10.637373924255371,9.928044319152832
trabajo,3517,2268,NOUN,5785,2268,0.3920484010371651,True,0.8315176367759705,8.41381549835205,9.502009391784668
decir,1457,3984,VERB,5441,1457,0.26778165778349566,True,0.6655341386795044,8.32843017578125,11.1423978805542
jugar,3676,1469,NOUN,5145,1469,0.28551992225461614,True,0.7724286317825317,9.428276062011719,10.643534660339355
estudio,3697,1360,NOUN,5057,1360,0.26893415068222265,True,0.8154970407485962,9.769454002380371,10.04648494720459
poner,2163,2431,VERB,4594,2163,0.47083151937309536,True,0.7731755971908569,10.810304641723633,11.55221939086914
resultado,2380,1715,NOUN,4095,1715,0.4188034188034188,True,0.7181754112243652,9.520942687988281,10.549164772033691
tratar,891,3090,VERB,3981,891,0.22381311228334588,True,0.6619769334793091,8.578507423400879,10.694849967956543
conocer,215,3758,VERB,3973,215,0.05411527812735968,True,0.8132219910621643,8.94591236114502,10.914393424987793
tomar,387,3500,VERB,3887,387,0.09956264471314638,True,0.8437986373901367,8.123235702514648,9.904680252075195
base,2771,1055,NOUN,3826,1055,0.2757449032932567,True,0.7348712086677551,9.142930030822754,8.976638793945312
lograr,288,3284,VERB,3572,288,0.08062709966405375,True,0.5348440408706665,7.392967224121094,9.269244194030762
escribir,573,2905,VERB,3478,573,0.16474985623921795,True,0.8219259977340698,8.66782283782959,10.336398124694824
llamar,403,2975,VERB,3378,403,0.11930136175251628,True,0.8218913078308105,9.223886489868164,10.575303077697754
mostrar,627,2636,VERB,3263,627,0.19215445908673,True,0.8021732568740845,7.8514018058776855,9.646663665771484
ganar,370,2861,VERB,3231,370,0.1145156298359641,True,0.6559622287750244,6.986356735229492,10.563335418701172
suelo,890,2248,VERB,3138,890,0.2836201402166985,True,0.5128819346427917,6.8874077796936035,9.174149513244629
entrar,1002,1876,VERB,2878,1002,0.3481584433634468,True,0.7597322463989258,8.11828899383545,9.661090850830078
alcanzar,277,2551,VERB,2828,277,0.09794908062234794,True,0.508603036403656,7.551323890686035,9.380825996398926
causa,1614,1066,NOUN,2680,1066,0.3977611940298508,True,0.7465665340423584,10.168126106262207,9.794779777526855
intentar,956,1672,VERB,2628,956,0.3637747336377473,True,0.7530260682106018,7.995047092437744,9.21358585357666
vivir,267,2257,VERB,2524,267,0.10578446909667195,True,0.5560784339904785,7.426943302154541,10.560981750488281
salir,757,1739,VERB,2496,757,0.3032852564102564,True,0.7110044956207275,7.996933937072754,10.399063110351562
morir,450,2023,VERB,2473,450,0.1819652244237768,True,0.765914797782898,8.346864700317383,9.665231704711914
sentido,1399,933,NOUN,2332,933,0.40008576329331047,True,0.5012807846069336,8.022577285766602,11.3475923538208
ataque,1447,883,NOUN,2330,883,0.3789699570815451,True,0.8092390894889832,7.9269585609436035,8.723588943481445
diferencia,1832,357,NOUN,2189,357,0.16308816811329374,True,0.8697882890701294,9.73597240447998,7.8711724281311035
significar,505,1621,VERB,2126,505,0.23753527751646283,True,0.7208614349365234,7.144176483154297,10.235871315002441
ayuda,947,1123,VERB,2070,947,0.457487922705314,True,0.780689001083374,7.675397872924805,9.304720878601074
caer,699,1255,VERB,1954,699,0.3577277379733879,True,0.6661555767059326,8.113913536071777,10.875511169433594
hablar,185,1769,VERB,1954,185,0.09467758444216991,True,0.8084499835968018,7.950870513916016,10.254354476928711
parecer,226,1692,VERB,1918,226,0.11783107403545359,True,0.7379459142684937,9.469029426574707,10.337153434753418
buscar,264,1538,VERB,1802,264,0.146503884572697,True,0.8126393556594849,7.278916835784912,9.458166122436523
diseño,1291,489,NOUN,1780,489,0.2747191011235955,True,0.6705228686332703,7.585814952850342,9.896907806396484
figura,1471,303,NOUN,1774,303,0.17080045095828636,True,0.816902756690979,8.502859115600586,8.767891883850098
lanzar,115,1648,VERB,1763,115,0.0652297220646625,True,0.7595051527023315,7.388559341430664,9.247255325317383
propuesta,652,1097,VERB,1749,652,0.3727844482561464,True,0.7151946425437927,7.32067346572876,9.809948921203613
venir,442,1257,VERB,1699,442,0.26015303119482047,True,0.5791257619857788,6.616052627563477,11.338556289672852
sede,1532,109,NOUN,1641,109,0.06642291285801341,True,0.6221071481704712,8.8546781539917,6.219915866851807
lucha,1056,567,NOUN,1623,567,0.34935304990757854,True,0.8902485370635986,7.357729911804199,8.89229965209961
abandonar,203,1420,VERB,1623,203,0.1250770178681454,True,0.8166198134422302,7.890439033508301,8.901954650878906
prueba,1293,329,NOUN,1622,329,0.20283600493218248,True,0.632641613483429,8.106225967407227,9.604305267333984
marca,721,880,VERB,1601,721,0.45034353529044346,True,0.7256054878234863,8.110283851623535,9.665642738342285
crítica,1148,438,NOUN,1586,438,0.27616645649432536,True,0.8134356141090393,8.334335327148438,7.4671478271484375
suponer,175,1392,VERB,1567,175,0.11167836630504148,True,0.870895504951477,9.585729598999023,9.978632926940918
empleado,291,1244,VERB,1535,291,0.18957654723127035,True,0.7921295762062073,8.461176872253418,8.951409339904785
saber,110,1422,VERB,1532,110,0.07180156657963446,True,0.6772655844688416,9.553020477294922,12.244110107421875
compuesto,505,1001,VERB,1506,505,0.3353253652058433,True,0.6603841781616211,7.798245429992676,10.799177169799805
descubrir,102,1392,VERB,1494,102,0.06827309236947791,True,0.8428357839584351,9.124638557434082,10.618934631347656
reina,1339,97,NOUN,1436,97,0.06754874651810584,True,0.8028892278671265,9.449278831481934,9.568309783935547
mando,1078,350,NOUN,1428,350,0.24509803921568626,True,0.5858020782470703,8.894049644470215,8.761619567871094
transporte,1083,343,NOUN,1426,343,0.24053295932678823,True,0.7592164278030396,6.97006893157959,8.004634857177734
firma,415,925,VERB,1340,415,0.30970149253731344,True,0.8606000542640686,8.315339088439941,8.456920623779297
retirar,287,962,VERB,1249,287,0.22978382706164932,True,0.8235786557197571,7.511844635009766,9.414179801940918
visita,496,728,VERB,1224,496,0.40522875816993464,True,0.8376550674438477,7.518770217895508,9.091038703918457
mejorar,403,777,VERB,1180,403,0.34152542372881356,True,0.8512082099914551,7.86939811706543,9.121954917907715
pedir,104,1071,VERB,1175,104,0.08851063829787234,True,0.7251212000846863,7.994390487670898,10.452792167663574
cruzar,555,610,VERB,1165,555,0.47639484978540775,True,0.7882484197616577,9.689748764038086,8.19135856628418
imponer,445,689,VERB,1134,445,0.3924162257495591,True,0.6555548310279846,7.452169418334961,8.610280990600586
falta,922,211,NOUN,1133,211,0.18623124448367168,True,0.8542509078979492,7.055939197540283,8.340795516967773
gira,886,236,NOUN,1122,236,0.2103386809269162,True,0.7385976314544678,7.097637176513672,8.513504028320312
avanzar,608,512,NOUN,1120,512,0.45714285714285713,True,0.548042893409729,7.931063652038574,9.536957740783691
combate,831,289,NOUN,1120,289,0.2580357142857143,True,0.7412270903587341,8.51307487487793,8.548995971679688
práctica,1059,56,NOUN,1115,56,0.05022421524663677,True,0.8813260793685913,8.56995964050293,8.94665241241455
entregar,301,806,VERB,1107,301,0.2719060523938573,True,0.8198829889297485,9.066615104675293,9.86792278289795
disputar,322,777,VERB,1099,322,0.2929936305732484,True,0.7689303159713745,7.8604302406311035,10.78418254852295
esperar,136,937,VERB,1073,136,0.1267474370922647,True,0.8672348260879517,7.90706205368042,9.46804141998291
tocar,113,958,VERB,1071,113,0.10550887021475257,True,0.6761351227760315,8.883197784423828,10.487114906311035
carga,894,166,NOUN,1060,166,0.15660377358490565,True,0.8522735834121704,7.312675476074219,7.561408996582031
informar,478,543,VERB,1021,478,0.4681684622918707,True,0.6876194477081299,7.374581813812256,8.617501258850098
reforma,932,84,NOUN,1016,84,0.08267716535433071,True,0.8855561017990112,7.85765266418457,7.235531330108643
sumar,331,673,VERB,1004,331,0.3296812749003984,True,0.805341362953186,8.419315338134766,9.49627685546875
deber,150,805,VERB,955,150,0.15706806282722513,True,0.6953580379486084,8.078987121582031,9.437302589416504
desear,424,517,VERB,941,424,0.4505844845908608,True,0.5382881164550781,7.037357807159424,9.181482315063477
cubrir,226,708,VERB,934,226,0.24197002141327623,True,0.5286822319030762,7.410205841064453,8.921455383300781
