lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
osa,12691,5075,NOUN,17766,5075,0.2856579984239559,True,0.7482660412788391,9.248329162597656,9.506282806396484
tegema,3781,11917,VERB,15698,3781,0.24085870811568352,True,0.7205259799957275,8.554320335388184,10.74849796295166
töö,6082,8376,VERB,14458,6082,0.42066675888781296,True,0.8361197113990784,8.424816131591797,9.701190948486328
panema,5738,7327,VERB,13065,5738,0.4391886720244929,True,0.6670519113540649,8.711819648742676,11.195375442504883
looma,4530,7795,VERB,12325,4530,0.3675456389452333,True,0.8432192802429199,9.331111907958984,11.609949111938477
sündima,573,10552,VERB,11125,573,0.05150561797752809,True,0.5725816488265991,10.038270950317383,7.4209065437316895
pidama,1178,8066,VERB,9244,1178,0.12743401125054088,True,0.7809121608734131,8.177733421325684,10.75146770477295
muutuma,1495,6618,VERB,8113,1495,0.1842721557993344,True,0.8669215440750122,6.623933792114258,9.506096839904785
koht,7433,469,NOUN,7902,469,0.05935206276891926,True,0.7848460078239441,9.74787425994873,9.770143508911133
juht,4992,2659,NOUN,7651,2659,0.3475362697686577,True,0.9042529463768005,9.164407730102539,9.178407669067383
viima,1324,5785,VERB,7109,1324,0.1862427908285272,True,0.6108668446540833,9.230387687683105,9.685322761535645
laps,4545,2116,NOUN,6661,2116,0.3176700195165891,True,0.7213155031204224,8.391843795776367,10.47441577911377
jõudma,1496,4626,VERB,6122,1496,0.24436458673636066,True,0.9152054786682129,7.830788612365723,8.796099662780762
teadma,1058,3552,VERB,4610,1058,0.22950108459869847,True,0.8929896354675293,7.711973190307617,8.735587120056152
määr,931,3674,VERB,4605,931,0.20217155266015202,True,0.8796759843826294,7.332388401031494,8.854961395263672
mõju,2030,2249,VERB,4279,2030,0.47440990885720963,True,0.9255858659744263,7.756094932556152,8.222125053405762
tundma,1747,2379,VERB,4126,1747,0.42341250605913716,True,0.8342809677124023,8.32643985748291,9.395691871643066
tooma,372,3726,VERB,4098,372,0.09077598828696926,True,0.7484874129295349,6.7845940589904785,11.089285850524902
