lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
aika,24778,2934,NOUN,27712,2934,0.10587471131639722,True,0.6643686890602112,10.405756950378418,10.526061058044434
tehdä,4435,23264,VERB,27699,4435,0.16011408354092205,True,0.6445081233978271,9.393595695495605,10.80184268951416
tulla,3329,19519,VERB,22848,3329,0.14570203081232494,True,0.6237897276878357,9.035743713378906,9.405314445495605
nimi,16143,2405,NOUN,18548,2405,0.12966357558766445,True,0.8212295770645142,10.146486282348633,9.101859092712402
osa,15141,874,NOUN,16015,874,0.05457383702778645,True,0.8778209090232849,10.455561637878418,9.808985710144043
voittaa,1557,14357,VERB,15914,1557,0.09783838129948473,True,0.6097597479820251,8.621850967407227,9.171730041503906
alkaa,1176,11001,VERB,12177,1176,0.09657551120965756,True,0.6161904335021973,9.892670631408691,9.29570198059082
tapa,4387,4093,NOUN,8480,4093,0.4826650943396226,True,0.7590034008026123,10.961257934570312,11.129439353942871
tuntea,1702,6330,VERB,8032,1702,0.21190239043824702,True,0.677019476890564,8.231120109558105,9.94193172454834
jäädä,414,7084,VERB,7498,414,0.05521472392638037,True,0.8328806161880493,8.969112396240234,10.285956382751465
lähteä,1186,6280,VERB,7466,1186,0.1588534690597375,True,0.8603425025939941,8.72253704071045,10.740484237670898
syntyä,614,6781,VERB,7395,614,0.0830290736984449,True,0.8122891187667847,9.053325653076172,9.075230598449707
seurata,4220,3061,NOUN,7281,3061,0.4204092844389507,True,0.7803952693939209,9.034814834594727,9.827178955078125
päästä,1866,5374,VERB,7240,1866,0.2577348066298343,True,0.8290133476257324,9.260923385620117,10.484278678894043
loppu,6489,660,NOUN,7149,660,0.09232060428031892,True,0.7248878479003906,10.114039421081543,8.327364921569824
kuolla,573,5963,VERB,6536,573,0.08766829865361077,True,0.8296018838882446,8.339350700378418,9.9049654006958
sanoa,3342,3143,NOUN,6485,3143,0.484656900539707,True,0.7775792479515076,10.197641372680664,9.278681755065918
ei,3192,2972,NOUN,6164,2972,0.48215444516547695,True,0.8350793123245239,9.609328269958496,10.697269439697266
palata,300,5637,VERB,5937,300,0.050530570995452245,True,0.7141581773757935,9.287548065185547,8.70225715637207
tapahtua,2570,3299,VERB,5869,2570,0.4378940194240927,True,0.8880892395973206,9.79582691192627,8.569085121154785
kuva,1658,3339,VERB,4997,1658,0.3317990794476686,True,0.9171507358551025,7.209939956665039,8.660799026489258
jatkaa,623,4333,VERB,4956,623,0.12570621468926554,True,0.8009798526763916,8.60839557647705,10.36186408996582
ero,1451,3365,VERB,4816,1451,0.3012873754152824,True,0.8730380535125732,8.70683479309082,10.674187660217285
määrä,2960,1423,NOUN,4383,1423,0.324663472507415,True,0.8339841365814209,8.082613945007324,7.540857791900635
tietää,2214,1941,NOUN,4155,1941,0.4671480144404332,True,0.7463032007217407,8.910114288330078,9.927251815795898
kutsua,250,3890,VERB,4140,250,0.06038647342995169,True,0.9201697707176208,9.311643600463867,10.470842361450195
kehittää,601,2993,VERB,3594,601,0.16722314969393434,True,0.9508543014526367,7.818454742431641,8.823362350463867
haluta,168,3095,VERB,3263,168,0.05148636224333435,True,0.9418413639068604,7.544408321380615,8.565967559814453
valta,2200,1034,NOUN,3234,1034,0.3197278911564626,True,0.8317884206771851,8.632328033447266,8.97531795501709
kohta,1821,1177,NOUN,2998,1177,0.3925950633755837,True,0.6510075330734253,10.331433296203613,8.772873878479004
syy,2434,483,NOUN,2917,483,0.1655810764484059,True,0.8685564994812012,9.025843620300293,7.576612949371338
tila,2539,339,NOUN,2878,339,0.11779013203613621,True,0.8459736108779907,8.959315299987793,8.46790599822998
tukea,1159,1689,VERB,2848,1159,0.40695224719101125,True,0.9580550193786621,7.752233028411865,8.320904731750488
katsoa,346,2426,VERB,2772,346,0.12481962481962482,True,0.80350661277771,7.215346336364746,8.909942626953125
levy,2555,156,NOUN,2711,156,0.05754334194024345,True,0.9474040269851685,8.448885917663574,7.0975494384765625
ääni,1903,429,NOUN,2332,429,0.18396226415094338,True,0.9126557111740112,8.277847290039062,7.409104824066162
lukea,406,1903,VERB,2309,406,0.1758336942399307,True,0.8670316934585571,8.567517280578613,10.027494430541992
kanta,1543,528,NOUN,2071,528,0.2549492998551424,True,0.7513173818588257,8.959796905517578,8.10529899597168
arvo,1875,189,NOUN,2064,189,0.09156976744186046,True,0.853534460067749,8.070475578308105,8.193521499633789
uskoa,232,1716,VERB,1948,232,0.11909650924024641,True,0.8653730154037476,6.70480489730835,9.027841567993164
tutkia,133,1794,VERB,1927,133,0.06901920083030617,True,0.9859880208969116,7.596096992492676,8.519800186157227
korvata,180,1666,VERB,1846,180,0.09750812567713976,True,0.9300443530082703,7.633789539337158,7.104684829711914
suunta,1243,509,NOUN,1752,509,0.2905251141552511,True,0.9083528518676758,8.749759674072266,8.874998092651367
painaa,733,934,VERB,1667,733,0.4397120575884823,True,0.9238870143890381,8.153429985046387,8.6124849319458
itä,1460,81,NOUN,1541,81,0.05256327060350422,True,0.8848356008529663,10.033502578735352,9.414756774902344
kulua,109,1410,VERB,1519,109,0.07175773535220539,True,0.9001630544662476,7.279638767242432,8.982813835144043
koskea,156,1330,VERB,1486,156,0.10497981157469717,True,0.9207950830459595,7.255131721496582,8.091084480285645
maksaa,78,1345,VERB,1423,78,0.054813773717498245,True,0.8818107843399048,6.347417831420898,7.584741592407227
kasvattaa,373,927,VERB,1300,373,0.28692307692307695,True,0.8721073865890503,6.592510223388672,7.748964309692383
kokea,284,1014,VERB,1298,284,0.21879815100154082,True,0.9085949063301086,8.563060760498047,8.995665550231934
sopia,93,1201,VERB,1294,93,0.07187017001545595,True,0.968547523021698,7.66356897354126,8.570019721984863
syödä,271,1011,VERB,1282,271,0.21138845553822153,True,0.8695943355560303,7.555617332458496,7.683436870574951
etsiä,123,1143,VERB,1266,123,0.0971563981042654,True,0.9395861029624939,7.963675498962402,7.808896541595459
sataa,880,384,NOUN,1264,384,0.3037974683544304,True,0.9697953462600708,7.1787896156311035,7.70804500579834
säveltää,74,1177,VERB,1251,74,0.05915267785771383,True,0.970916748046875,7.84911584854126,7.645387649536133
hauta,512,705,VERB,1217,512,0.42070665571076415,True,0.8298261165618896,8.499266624450684,7.487395763397217
suunnitelma,1110,105,NOUN,1215,105,0.08641975308641975,True,0.9896987676620483,8.588547706604004,7.608024597167969
suojata,342,849,VERB,1191,342,0.2871536523929471,True,0.9362533092498779,7.029333591461182,7.893925666809082
kuulla,56,1051,VERB,1107,56,0.05058717253839205,True,0.9585133194923401,7.838896751403809,7.971610069274902
laulaa,61,1045,VERB,1106,61,0.05515370705244123,True,0.9795222878456116,7.59519100189209,6.146950721740723
luvata,546,542,NOUN,1088,542,0.49816176470588236,True,0.9513835906982422,7.640120983123779,8.630672454833984
sisällissota,1017,65,NOUN,1082,65,0.06007393715341959,True,0.954717755317688,8.59424114227295,7.067557334899902
virrata,159,887,VERB,1046,159,0.15200764818355642,True,0.7967274188995361,7.9182586669921875,7.508266925811768
kanava,754,257,NOUN,1011,257,0.2542037586547972,True,0.9498497247695923,9.30469799041748,7.390288829803467
oppia,310,655,VERB,965,310,0.32124352331606215,True,0.9541445374488831,7.423328399658203,7.686096668243408
vara,435,527,VERB,962,435,0.4521829521829522,True,0.5904403924942017,8.673117637634277,5.797542095184326
laatia,58,869,VERB,927,58,0.06256742179072276,True,0.9588072896003723,8.843558311462402,9.667741775512695
mitata,292,633,VERB,925,292,0.31567567567567567,True,0.7727968096733093,8.836358070373535,8.174684524536133
seutu,822,96,NOUN,918,96,0.10457516339869281,True,0.9241655468940735,9.503929138183594,7.283315658569336
kukka,727,127,NOUN,854,127,0.148711943793911,True,0.8680036067962646,8.523748397827148,6.361013412475586
laittaa,294,518,VERB,812,294,0.3620689655172414,True,0.5612502694129944,8.468135833740234,6.875205993652344
taajama,751,48,NOUN,799,48,0.060075093867334166,True,0.9463565349578857,8.091012001037598,8.107381820678711
pestä,434,334,NOUN,768,334,0.4348958333333333,True,0.8758022785186768,7.632469177246094,6.861168384552002
palkka,329,432,VERB,761,329,0.4323258869908016,True,0.8742552995681763,6.643406867980957,7.762477874755859
katu,683,62,NOUN,745,62,0.08322147651006712,True,0.9276708364486694,8.840790748596191,8.206870079040527
tuntua,438,300,NOUN,738,300,0.4065040650406504,True,0.8290747404098511,8.541024208068848,7.401122093200684
epäillä,69,663,VERB,732,69,0.0942622950819672,True,0.9742046594619751,8.47595500946045,7.808649063110352
sukunimi,652,45,NOUN,697,45,0.06456241032998565,True,0.8853784203529358,6.229692459106445,4.215324878692627
noudattaa,55,629,VERB,684,55,0.0804093567251462,True,0.9560296535491943,5.157510280609131,6.316007614135742
tunnustaa,72,612,VERB,684,72,0.10526315789473684,True,0.9738885164260864,8.504809379577637,8.081954956054688
muistaa,95,575,VERB,670,95,0.1417910447761194,True,0.8894365429878235,6.265171051025391,8.4071626663208
kirje,632,36,NOUN,668,36,0.05389221556886228,True,0.9818949699401855,8.620321273803711,9.374524116516113
munia,449,208,NOUN,657,208,0.3165905631659056,True,0.8330124616622925,8.110284805297852,5.968507289886475
paluu,607,45,NOUN,652,45,0.06901840490797546,True,0.8512872457504272,7.466554641723633,8.941972732543945
rotu,573,54,NOUN,627,54,0.0861244019138756,True,0.8804315328598022,7.647558212280273,6.191034317016602
yltää,35,577,VERB,612,35,0.05718954248366013,True,0.9642854928970337,9.141131401062012,9.60375690460205
juhla,326,285,NOUN,611,285,0.4664484451718494,True,0.9492924213409424,8.944327354431152,8.524479866027832
maine,522,87,NOUN,609,87,0.14285714285714285,True,0.9735268354415894,7.329328536987305,6.856508255004883
etu,541,64,NOUN,605,64,0.10578512396694215,True,0.9358643293380737,9.029651641845703,6.274456977844238
tunnettu,80,525,VERB,605,80,0.1322314049586777,True,0.9476503133773804,7.666665554046631,10.190140724182129
veri,542,39,NOUN,581,39,0.06712564543889846,True,0.6726416349411011,7.567227840423584,7.710487365722656
kunnia,528,35,NOUN,563,35,0.06216696269982238,True,0.9530125260353088,9.211581230163574,8.282878875732422
toivoa,140,422,VERB,562,140,0.2491103202846975,True,0.9394530653953552,7.2732415199279785,8.364385604858398
keksiä,45,514,VERB,559,45,0.08050089445438283,True,0.9648808240890503,9.422630310058594,8.584699630737305
istua,48,510,VERB,558,48,0.08602150537634409,True,0.9232268333435059,6.515768051147461,8.022581100463867
tyyppi,520,34,NOUN,554,34,0.061371841155234655,True,0.970822811126709,9.141987800598145,8.181227684020996
rikkoa,33,516,VERB,549,33,0.060109289617486336,True,0.9828157424926758,6.864251613616943,7.600729465484619
sallia,37,448,VERB,485,37,0.07628865979381444,True,0.9825249910354614,7.815776824951172,7.883718967437744
sattua,71,385,VERB,456,71,0.15570175438596492,True,0.48500263690948486,8.101409912109375,7.7969255447387695
tuuli,424,31,NOUN,455,31,0.06813186813186813,True,0.9696571826934814,6.339495658874512,7.807010650634766
tanssia,235,219,NOUN,454,219,0.48237885462555063,True,0.9733378887176514,6.664244651794434,6.586188793182373
juoda,223,207,NOUN,430,207,0.4813953488372093,True,0.919501781463623,6.869992733001709,7.8605146408081055
seura,381,48,NOUN,429,48,0.11188811188811189,True,0.7114714980125427,10.63727855682373,5.524452209472656
kouluttaa,39,371,VERB,410,39,0.0951219512195122,True,0.9804162383079529,6.000723838806152,6.966970443725586
pyöriä,225,164,NOUN,389,164,0.42159383033419023,True,0.9702516794204712,8.11465072631836,7.474048614501953
tahtoa,248,138,NOUN,386,138,0.35751295336787564,True,0.9426692724227905,7.551369667053223,8.919136047363281
hyöty,255,120,NOUN,375,120,0.32,True,0.9773936867713928,7.13701868057251,6.7299675941467285
taata,35,336,VERB,371,35,0.09433962264150944,True,0.7808939218521118,7.66303014755249,8.600369453430176
liittoutuneet,244,118,NOUN,362,118,0.3259668508287293,True,0.9901110529899597,8.521164894104004,8.76315689086914
soveltaa,58,275,VERB,333,58,0.17417417417417416,True,0.9589910507202148,6.743200778961182,8.05761432647705
suosia,30,298,VERB,328,30,0.09146341463414634,True,0.9790712594985962,7.469508647918701,7.437492370605469
pääsy,277,46,NOUN,323,46,0.14241486068111456,True,0.9890750050544739,8.032827377319336,8.32394027709961
panna,52,264,VERB,316,52,0.16455696202531644,True,0.9258089065551758,7.596567153930664,8.173121452331543
periä,66,245,VERB,311,66,0.21221864951768488,True,0.9769803285598755,7.775304317474365,8.051116943359375
kansi,273,34,NOUN,307,34,0.11074918566775244,True,0.762627899646759,8.765830039978027,5.765578746795654
komentaa,39,268,VERB,307,39,0.1270358306188925,True,0.9575895071029663,6.514880657196045,8.854503631591797
perua,59,248,VERB,307,59,0.19218241042345277,True,0.8937348127365112,8.475740432739258,8.083040237426758
maalivahti,224,79,NOUN,303,79,0.2607260726072607,True,0.968429446220398,7.85080099105835,6.774477481842041
maku,256,37,NOUN,293,37,0.12627986348122866,True,0.6872557997703552,8.230508804321289,5.858597278594971
seuraava,248,40,NOUN,288,40,0.1388888888888889,True,0.7463743686676025,10.1673583984375,5.758174896240234
tuntuma,151,131,NOUN,282,131,0.4645390070921986,True,0.9943932294845581,6.66936731338501,6.37883186340332
ulkonäkö,245,34,NOUN,279,34,0.12186379928315412,True,0.9786571264266968,6.21118688583374,7.745533466339111
säteily,229,43,NOUN,272,43,0.15808823529411764,True,0.9905280470848083,6.780430793762207,6.607186794281006
virsi,219,52,NOUN,271,52,0.1918819188191882,True,0.8931167125701904,6.944162845611572,6.198121070861816
la,93,171,VERB,264,93,0.3522727272727273,True,0.6312922239303589,9.684085845947266,11.498077392578125
luutnantti,229,31,NOUN,260,31,0.11923076923076924,True,0.9751105308532715,7.733626365661621,6.876034259796143
kaava,205,53,NOUN,258,53,0.2054263565891473,True,0.9334053993225098,7.664316177368164,6.907506465911865
näytelä,92,165,VERB,257,92,0.35797665369649806,True,0.9945259094238281,8.14494800567627,7.653984546661377
akseli,221,33,NOUN,254,33,0.12992125984251968,True,0.7971296310424805,8.000816345214844,6.743768215179443
neuvo,161,81,NOUN,242,81,0.3347107438016529,True,0.923747718334198,6.899240016937256,7.216642379760742
luottaa,30,209,VERB,239,30,0.12552301255230125,True,0.9322654604911804,5.918851375579834,7.047154903411865
viha,159,79,NOUN,238,79,0.3319327731092437,True,0.9238561391830444,6.820512771606445,6.763157844543457
tajuta,39,196,VERB,235,39,0.16595744680851063,True,0.9388506412506104,6.631484508514404,7.287150859832764
satama,185,48,NOUN,233,48,0.20600858369098712,True,0.9895204901695251,6.750405311584473,6.312610149383545
esikuva,97,127,VERB,224,97,0.4330357142857143,True,0.9842703938484192,8.293764114379883,7.929147720336914
titteli,157,64,NOUN,221,64,0.2895927601809955,True,0.9788113832473755,9.237257957458496,8.57341194152832
marssi,124,91,NOUN,215,91,0.4232558139534884,True,0.9280673265457153,6.678204536437988,6.44687557220459
lava,169,46,NOUN,215,46,0.21395348837209302,True,0.9574452638626099,7.3317060470581055,5.958634376525879
sävy,178,31,NOUN,209,31,0.14832535885167464,True,0.9615592360496521,6.226961612701416,6.131303310394287
sveitsi,162,43,NOUN,205,43,0.2097560975609756,True,0.7682348489761353,8.554255485534668,4.221769332885742
as.,121,82,NOUN,203,82,0.4039408866995074,True,0.961244523525238,6.012608051300049,6.684300422668457
