lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
postati,1623,10361,VERB,11984,1623,0.13543057409879838,True,0.6551020741462708,9.325566291809082,9.546957969665527
igra,3422,4013,VERB,7435,3422,0.46025554808338937,True,0.7568042278289795,10.389542579650879,9.793614387512207
naziv,4694,2681,NOUN,7375,2681,0.3635254237288136,True,0.778367280960083,9.630849838256836,8.769503593444824
raditi,1604,5594,VERB,7198,1604,0.22283967768824672,True,0.6480814814567566,10.254060745239258,10.28465747833252
koristiti,539,6573,VERB,7112,539,0.07578740157480315,True,0.704201877117157,10.376980781555176,8.845930099487305
pojaviti,3914,3108,NOUN,7022,3108,0.44260894332099116,True,0.788435697555542,10.979572296142578,12.419516563415527
voda,3965,3028,NOUN,6993,3028,0.43300443300443303,True,0.709899365901947,7.871632099151611,9.601033210754395
morati,2689,4116,VERB,6805,2689,0.3951506245407788,True,0.6687609553337097,8.742565155029297,9.060001373291016
odnos,2899,1071,NOUN,3970,1071,0.2697732997481108,True,0.7961520552635193,11.017918586730957,9.606127738952637
objaviti,462,2682,VERB,3144,462,0.14694656488549618,True,0.5380560159683228,9.374872207641602,9.238983154296875
boja,2703,244,NOUN,2947,244,0.08279606379368849,True,0.9092305302619934,8.879072189331055,9.424230575561523
nastup,1389,1544,VERB,2933,1389,0.4735765427889533,True,0.7615993022918701,9.648887634277344,8.799030303955078
pomoć,1918,784,NOUN,2702,784,0.29015544041450775,True,0.6919015049934387,8.071616172790527,10.556947708129883
vlada,2112,449,NOUN,2561,449,0.17532213978914488,True,0.772557258605957,9.873918533325195,8.417529106140137
vratiti,129,2359,VERB,2488,129,0.05184887459807074,True,0.7669209241867065,7.452306270599365,9.985230445861816
iznositi,327,2070,VERB,2397,327,0.13642052565707133,True,0.5346925258636475,8.818748474121094,8.440169334411621
zaštita,2030,199,NOUN,2229,199,0.08927770300583221,True,0.9556201100349426,8.852981567382812,8.127341270446777
