lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
hidup,1397,1818,VERB,3215,1397,0.4345256609642302,True,0.8719035983085632,7.846441745758057,9.463244438171387
muncul,343,2859,VERB,3202,343,0.10712054965646471,True,0.906578779220581,7.89177942276001,7.595827579498291
tinggal,364,2786,VERB,3150,364,0.11555555555555555,True,0.8973745703697205,7.031810760498047,7.884181022644043
berikut,2273,841,NOUN,3114,841,0.27007064868336544,True,0.8957497477531433,9.421041488647461,7.53127908706665
berdiri,194,1756,VERB,1950,194,0.09948717948717949,True,0.9249727725982666,8.768162727355957,8.065844535827637
mendukung,871,841,NOUN,1712,841,0.4912383177570093,True,0.9904851913452148,7.204251766204834,7.074001312255859
debut,1392,128,NOUN,1520,128,0.08421052631578947,True,0.9351752400398254,7.23928165435791,6.331367015838623
berakhir,128,1382,VERB,1510,128,0.0847682119205298,True,0.880359411239624,7.875955104827881,7.715729236602783
jatuh,186,1233,VERB,1419,186,0.13107822410147993,True,0.8863463401794434,7.486588954925537,8.051654815673828
arti,928,487,NOUN,1415,487,0.3441696113074205,True,0.9451489448547363,8.3859224319458,7.412583827972412
keluar,80,1166,VERB,1246,80,0.06420545746388442,True,0.9093536138534546,7.8867340087890625,7.93359375
terbang,627,393,NOUN,1020,393,0.38529411764705884,True,0.9612349271774292,7.103923320770264,6.937839984893799
berbatasan,66,913,VERB,979,66,0.06741573033707865,True,0.4408915638923645,8.87491512298584,6.7056779861450195
mencoba,64,901,VERB,965,64,0.06632124352331606,True,0.988250195980072,6.694375038146973,7.381969451904297
efek,865,84,NOUN,949,84,0.08851422550052687,True,0.9864346385002136,7.688654899597168,6.896730899810791
minggu,819,118,NOUN,937,118,0.12593383137673425,True,0.965493381023407,8.394449234008789,8.199185371398926
makan,260,661,VERB,921,260,0.28230184581976114,True,0.9746318459510803,7.465175151824951,7.1164469718933105
kehilangan,351,553,VERB,904,351,0.38827433628318586,True,0.9862967729568481,6.759945869445801,6.586134910583496
tahu,159,705,VERB,864,159,0.1840277777777778,True,0.9603748917579651,8.180173873901367,7.62700080871582
hilang,74,664,VERB,738,74,0.1002710027100271,True,0.9473929405212402,6.888731479644775,6.654603004455566
seminggu,107,566,VERB,673,107,0.1589895988112927,True,0.6281285285949707,7.473293304443359,3.292407989501953
hadir,43,592,VERB,635,43,0.06771653543307087,True,0.9341340661048889,7.006754398345947,6.928044319152832
pulang,40,593,VERB,633,40,0.0631911532385466,True,0.9580322504043579,7.525564670562744,7.227209568023682
berpartisipasi,149,463,VERB,612,149,0.2434640522875817,True,0.9922921657562256,7.485712051391602,7.591773509979248
alih,194,402,VERB,596,194,0.32550335570469796,True,0.9948884844779968,7.6608052253723145,7.197054862976074
terjun,472,109,NOUN,581,109,0.18760757314974183,True,0.8552467823028564,7.670939922332764,7.687755584716797
mententang,130,446,VERB,576,130,0.22569444444444445,True,0.9858908653259277,6.28434419631958,6.479403018951416
lepas,493,51,NOUN,544,51,0.09375,True,0.9593541622161865,8.804986953735352,8.224186897277832
penganti,424,103,NOUN,527,103,0.1954459203036053,True,0.9945672750473022,7.438431739807129,7.464704990386963
pagi,438,79,NOUN,517,79,0.1528046421663443,True,0.9921636581420898,8.42204761505127,8.39051628112793
tayang,95,418,VERB,513,95,0.18518518518518517,True,0.9767341613769531,8.223040580749512,7.338999271392822
mentuju,72,436,VERB,508,72,0.14173228346456693,True,0.9713729023933411,7.269748687744141,7.556910037994385
bersenjata,124,369,VERB,493,124,0.2515212981744422,True,0.8841415643692017,7.415948867797852,7.009191036224365
rilis,200,290,VERB,490,200,0.40816326530612246,True,0.9819199442863464,8.296854972839355,8.192877769470215
menderita,342,146,NOUN,488,146,0.29918032786885246,True,0.9972847700119019,8.303585052490234,8.327009201049805
analisis,360,111,NOUN,471,111,0.2356687898089172,True,0.99502032995224,6.565835475921631,6.389643669128418
disusun,30,440,VERB,470,30,0.06382978723404255,True,0.9806167483329773,7.843286037445068,8.08967399597168
pensiun,277,189,NOUN,466,189,0.4055793991416309,True,0.984783411026001,7.911858558654785,7.747158527374268
