lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
つ,6627,1889,NOUN,8516,1889,0.2218177548144669,True,0.7142949104309082,9.401402473449707,8.695894241333008
使用,1377,5386,VERB,6763,1377,0.20360786633150968,True,0.9617872834205627,8.806251525878906,8.596444129943848
存在,1377,4703,VERB,6080,1377,0.22648026315789474,True,0.8861330151557922,7.760046005249023,7.825204849243164
放送,2717,1981,NOUN,4698,1981,0.4216687952320136,True,0.9723629951477051,8.718446731567383,7.900508880615234
考える,404,4192,VERB,4596,404,0.08790252393385553,True,0.9312371611595154,7.149200916290283,7.086116313934326
作る,2090,2465,VERB,4555,2090,0.4588364434687157,True,0.7392295598983765,10.518733978271484,8.344208717346191
設置,889,3363,VERB,4252,889,0.20907808090310442,True,0.9501452445983887,8.728293418884277,7.499871253967285
出る,322,3698,VERB,4020,322,0.08009950248756219,True,0.9150719046592712,9.728718757629395,9.29691219329834
利用,1208,2776,VERB,3984,1208,0.3032128514056225,True,0.9573718309402466,7.515596389770508,7.764439105987549
関係,3372,218,NOUN,3590,218,0.060724233983286906,True,0.9227992296218872,8.683987617492676,7.7323126792907715
語る,2216,1282,NOUN,3498,1282,0.36649514008004574,True,0.702951192855835,8.967247009277344,6.926868438720703
開始,1045,2414,VERB,3459,1045,0.30211043654235326,True,0.9244012832641602,9.157196044921875,8.917279243469238
入る,291,3113,VERB,3404,291,0.0854876615746181,True,0.8989160060882568,8.930328369140625,9.290885925292969
化,2357,985,NOUN,3342,985,0.2947336923997606,True,0.9400753974914551,8.658026695251465,8.246213912963867
開発,2045,1291,NOUN,3336,1291,0.3869904076738609,True,0.9588699340820312,8.628827095031738,8.027094841003418
変更,1084,1948,VERB,3032,1084,0.3575197889182058,True,0.9560356140136719,7.628655910491943,7.2176947593688965
意味,2052,970,NOUN,3022,970,0.32097948378557245,True,0.9133453369140625,7.8876190185546875,7.427080154418945
書く,992,2005,VERB,2997,992,0.33099766433099764,True,0.7915518283843994,9.322881698608398,8.164652824401855
活動,2374,613,NOUN,2987,613,0.20522263140274524,True,0.9375994205474854,8.126897811889648,7.603288650512695
影響,2701,263,NOUN,2964,263,0.0887314439946019,True,0.9530376195907593,8.088119506835938,7.1163716316223145
発表,394,2522,VERB,2916,394,0.13511659807956103,True,0.9512429237365723,8.762897491455078,8.783188819885254
登場,476,2394,VERB,2870,476,0.16585365853658537,True,0.9548702239990234,8.47316837310791,8.393095970153809
研究,2367,322,NOUN,2689,322,0.11974711788769059,True,0.9590275287628174,8.630273818969727,8.26431655883789
通り,2287,398,NOUN,2685,398,0.14823091247672254,True,0.7502270936965942,9.757484436035156,7.971426963806152
採用,390,2167,VERB,2557,390,0.15252248728979273,True,0.9481244683265686,7.414975166320801,6.921712398529053
