lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
del,1285,2645,VERB,3930,1285,0.32697201017811706,True,0.3539178967475891,10.903864860534668,1.0199979543685913
tobias,1132,62,NOUN,1194,62,0.051926298157453935,True,0.9728624224662781,2.174543619155884,3.1753134727478027
mynna,581,410,NOUN,991,410,0.41372351160444,True,0.9508322477340698,2.1797351837158203,4.109547138214111
utflö,275,590,VERB,865,275,0.3179190751445087,True,0.9324558973312378,3.0300354957580566,2.2903003692626953
död,319,490,VERB,809,319,0.3943139678615575,True,0.9602811932563782,9.806567192077637,6.334892272949219
tergit,640,76,NOUN,716,76,0.10614525139664804,True,0.9627277851104736,7.630831241607666,8.848526954650879
"""andren",320,262,NOUN,582,262,0.45017182130584193,True,0.999370813369751,1.384594440460205,0.6477671265602112
auguste,534,47,NOUN,581,47,0.08089500860585198,True,0.9052222967147827,5.277985572814941,8.223164558410645
bo,422,142,NOUN,564,142,0.25177304964539005,True,0.7002110481262207,8.428054809570312,9.390161514282227
skridfluga,32,510,VERB,542,32,0.05904059040590406,True,0.954532265663147,2.971836566925049,1.4665526151657104
föda,318,93,NOUN,411,93,0.22627737226277372,True,0.7199655771255493,9.876750946044922,8.840767860412598
similis,175,225,VERB,400,175,0.4375,True,0.9955761432647705,3.539928436279297,3.077136516571045
vara,69,298,VERB,367,69,0.1880108991825613,True,0.5249450206756592,6.062895774841309,11.28774642944336
tricola,310,57,NOUN,367,57,0.1553133514986376,True,0.979800820350647,3.650994062423706,2.7110626697540283
skalbaggsar,72,283,VERB,355,72,0.2028169014084507,True,0.9989814758300781,2.9935710430145264,2.766927719116211
gracilis,89,236,VERB,325,89,0.27384615384615385,True,0.9935983419418335,2.905117988586426,2.9828977584838867
låta,227,92,NOUN,319,92,0.2884012539184953,True,0.6289039254188538,8.951093673706055,11.133065223693848
fasciata,202,102,NOUN,304,102,0.3355263157894737,True,0.968765139579773,4.118130207061768,2.776299476623535
apicalis,168,128,NOUN,296,128,0.43243243243243246,True,0.9969134330749512,3.0855305194854736,2.7738420963287354
hippolyte,258,37,NOUN,295,37,0.12542372881355932,True,0.9049314260482788,5.4137797355651855,1.5294079780578613
orientalis,168,126,NOUN,294,126,0.42857142857142855,True,0.9940822124481201,3.570497989654541,2.993657350540161
leda,41,236,VERB,277,41,0.148014440433213,True,0.8875488042831421,10.063312530517578,10.755265235900879
sätt,135,139,VERB,274,135,0.4927007299270073,True,0.646113395690918,9.261152267456055,10.532443046569824
dispa,168,104,NOUN,272,104,0.38235294117647056,True,0.9743800759315491,4.974157333374023,3.061509370803833
delta,30,228,VERB,258,30,0.11627906976744186,True,0.8831564784049988,8.71740436553955,8.99874210357666
far,196,58,NOUN,254,58,0.2283464566929134,True,0.8923746943473816,10.111041069030762,7.853569030761719
longicornis,90,159,VERB,249,90,0.3614457831325301,True,0.99626225233078,3.7297959327697754,2.955350399017334
affinis,131,118,NOUN,249,118,0.4738955823293173,True,0.9956154823303223,3.4628167152404785,2.9351890087127686
insularis,108,114,VERB,222,108,0.4864864864864865,True,0.9977189302444458,3.3082962036132812,2.782623767852783
tibialis,61,158,VERB,219,61,0.2785388127853881,True,0.996819257736206,3.8163650035858154,3.2390544414520264
vinna,97,110,VERB,207,97,0.46859903381642515,True,0.8304551839828491,9.202508926391602,10.73823356628418
resa,174,32,NOUN,206,32,0.1553398058252427,True,0.741391122341156,10.567098617553711,9.360064506530762
