lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
look,717,6009,VERB,6726,717,0.10660124888492417,True,0.9307975172996521,7.631728172302246,10.987282752990723
use,791,2816,VERB,3607,791,0.2192958136955919,True,0.8796683549880981,8.203258514404297,11.221162796020508
work,1668,1603,NOUN,3271,1603,0.49006420055029043,True,0.9090194702148438,8.488693237304688,11.69604206085205
need,591,2362,VERB,2953,591,0.20013545546901457,True,0.9443474411964417,10.410782814025879,10.015054702758789
point,1539,485,NOUN,2024,485,0.23962450592885376,True,0.7683188915252686,9.506629943847656,12.276726722717285
place,1664,355,NOUN,2019,355,0.17582961862308075,True,0.7581939697265625,8.934364318847656,12.396241188049316
hand,1881,136,NOUN,2017,136,0.06742687159147248,True,0.6221121549606323,9.954131126403809,10.564179420471191
show,132,1857,VERB,1989,132,0.06636500754147813,True,0.8635430335998535,9.370941162109375,11.683992385864258
turn,227,1632,VERB,1859,227,0.12210866057019903,True,0.8973318338394165,8.462509155273438,9.879758834838867
sort,1613,216,NOUN,1829,216,0.1180973209404046,True,0.8173751831054688,7.853850841522217,13.049758911132812
call,210,1570,VERB,1780,210,0.11797752808988764,True,0.8514823317527771,9.616535186767578,10.655699729919434
change,892,871,NOUN,1763,871,0.49404424276800907,True,0.9286075234413147,10.038901329040527,10.529322624206543
form,1272,358,NOUN,1630,358,0.2196319018404908,True,0.900952935218811,9.609784126281738,11.914632797241211
face,1269,289,NOUN,1558,289,0.18549422336328628,True,0.8836121559143066,8.263941764831543,11.922483444213867
head,1437,98,NOUN,1535,98,0.06384364820846905,True,0.6932520866394043,8.14054012298584,12.209558486938477
talk,119,1314,VERB,1433,119,0.08304256803907886,True,0.8762956857681274,9.222557067871094,10.650148391723633
start,160,1272,VERB,1432,160,0.11173184357541899,True,0.9052129983901978,8.377409934997559,10.56685733795166
end,1181,245,NOUN,1426,245,0.1718092566619916,True,0.8857892751693726,8.588216781616211,11.799973487854004
move,132,1288,VERB,1420,132,0.09295774647887324,True,0.9150333404541016,9.120783805847168,10.772786140441895
question,1314,103,NOUN,1417,103,0.07268877911079746,True,0.8335508108139038,10.217849731445312,11.78005313873291
hold,130,1269,VERB,1399,130,0.09292351679771266,True,0.8938044309616089,7.795217990875244,10.807828903198242
mind,740,621,NOUN,1361,621,0.4562821454812638,True,0.9506708979606628,7.671672344207764,9.377052307128906
record,1060,276,NOUN,1336,276,0.20658682634730538,True,0.7389049530029297,10.408344268798828,11.895075798034668
play,186,1107,VERB,1293,186,0.14385150812064965,True,0.9318323731422424,9.201676368713379,10.70289421081543
study,1037,218,NOUN,1255,218,0.17370517928286852,True,0.8379120826721191,10.629785537719727,11.153453826904297
run,152,1021,VERB,1173,152,0.12958226768968456,True,0.9040046334266663,9.409140586853027,11.501636505126953
help,204,911,VERB,1115,204,0.18295964125560538,True,0.959931492805481,7.81810188293457,9.946364402770996
walk,152,958,VERB,1110,152,0.13693693693693693,True,0.9064023494720459,8.156740188598633,10.217076301574707
name,993,113,NOUN,1106,113,0.10216998191681737,True,0.8015033602714539,8.801162719726562,12.378209114074707
watch,121,969,VERB,1090,121,0.11100917431192661,True,0.8861985802650452,7.978566646575928,10.790037155151367
love,498,582,VERB,1080,498,0.46111111111111114,True,0.9496136903762817,7.743380069732666,10.171653747558594
stop,74,996,VERB,1070,74,0.0691588785046729,True,0.9108080863952637,8.727062225341797,10.466690063476562
book,982,79,NOUN,1061,79,0.07445805843543826,True,0.5193171501159668,9.843488693237305,13.210899353027344
set,392,654,VERB,1046,392,0.37476099426386233,True,0.961230993270874,8.963014602661133,9.512789726257324
order,860,151,NOUN,1011,151,0.1493570722057369,True,0.8083786964416504,9.603864669799805,11.129913330078125
result,753,206,NOUN,959,206,0.21480709071949947,True,0.8882598876953125,10.521112442016602,11.78073501586914
act,647,274,NOUN,921,274,0.2975027144408252,True,0.868790864944458,8.82034969329834,12.60280704498291
view,814,103,NOUN,917,103,0.11232279171210469,True,0.8364664316177368,9.398637771606445,12.368611335754395
matter,586,296,NOUN,882,296,0.3356009070294785,True,0.9522237777709961,9.791460037231445,7.837514877319336
back,779,89,NOUN,868,89,0.10253456221198157,True,0.7821235656738281,8.173943519592285,13.072686195373535
lead,109,743,VERB,852,109,0.12793427230046947,True,0.8737209439277649,8.227859497070312,11.380516052246094
answer,488,355,NOUN,843,355,0.4211150652431791,True,0.9299866557121277,9.347466468811035,10.780183792114258
fall,69,759,VERB,828,69,0.08333333333333333,True,0.8928273916244507,9.962677955627441,11.67248821258545
sound,326,499,VERB,825,326,0.39515151515151514,True,0.8892284631729126,9.334877967834473,11.68402099609375
light,689,129,NOUN,818,129,0.15770171149144255,True,0.6864292621612549,10.381481170654297,12.035398483276367
process,720,91,NOUN,811,91,0.11220715166461159,True,0.7300863265991211,8.968326568603516,12.58518123626709
lie,85,702,VERB,787,85,0.10800508259212198,True,0.8529775738716125,10.256133079528809,13.33845329284668
drink,460,325,NOUN,785,325,0.4140127388535032,True,0.9098566770553589,8.843860626220703,11.756173133850098
cause,240,539,VERB,779,240,0.3080872913992298,True,0.8388761281967163,9.572166442871094,11.2338228225708
