lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
use,4918,20449,VERB,25367,4918,0.19387393069736272,True,0.8432835340499878,8.989274024963379,10.103188514709473
be,2244,14854,VERB,17098,2244,0.13124342028307404,True,0.6911035180091858,11.989325523376465,11.512340545654297
know,8253,8364,VERB,16617,8253,0.49666004693988086,True,0.5747196674346924,10.354864120483398,10.891841888427734
state,7797,2844,NOUN,10641,2844,0.2672681138990696,True,0.6433550715446472,9.172735214233398,10.113322257995605
work,5700,4110,NOUN,9810,4110,0.41896024464831805,True,0.8646234273910522,9.020244598388672,10.049776077270508
write,2713,6315,VERB,9028,2713,0.300509525919362,True,0.8106219172477722,9.332893371582031,10.428818702697754
call,696,8039,VERB,8735,696,0.07967945048654837,True,0.7174810171127319,8.513142585754395,10.433080673217773
form,4877,3752,NOUN,8629,3752,0.4348128404218334,True,0.733893096446991,9.050710678100586,10.416158676147461
name,5757,2746,NOUN,8503,2746,0.32294484299658943,True,0.7347573637962341,9.297941207885742,10.39785099029541
life,5386,2693,NOUN,8079,2693,0.3333333333333333,True,0.7429560422897339,9.324865341186523,9.720800399780273
base,2829,5238,VERB,8067,2829,0.3506879880996653,True,0.7221932411193848,9.776191711425781,9.816716194152832
begin,947,5907,VERB,6854,947,0.1381674934344908,True,0.7457157373428345,8.733720779418945,9.244236946105957
lead,560,6049,VERB,6609,560,0.08473293993039795,True,0.7783821821212769,9.677911758422852,10.824090003967285
film,5655,378,NOUN,6033,378,0.0626553953257086,True,0.7130323648452759,8.207168579101562,8.979294776916504
play,1323,4487,VERB,5810,1323,0.22771084337349398,True,0.7985565662384033,9.108685493469238,11.228475570678711
force,4432,1331,NOUN,5763,1331,0.23095609925386085,True,0.6401470899581909,9.433465003967285,9.243963241577148
end,3925,1818,NOUN,5743,1818,0.3165592895699112,True,0.7941700220108032,9.686384201049805,9.774356842041016
result,3435,2210,NOUN,5645,2210,0.39149689991142606,True,0.7899998426437378,9.959711074829102,9.732028007507324
term,5324,285,NOUN,5609,285,0.0508111962916741,True,0.6515660285949707,9.754072189331055,8.541240692138672
show,1955,3536,VERB,5491,1955,0.3560371517027864,True,0.7393162250518799,9.03276252746582,10.389284133911133
power,5136,271,NOUN,5407,271,0.05012021453671167,True,0.7021439075469971,8.716093063354492,9.253098487854004
support,2354,2781,VERB,5135,2354,0.45842259006815966,True,0.8435622453689575,8.176698684692383,9.345340728759766
