lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
use,4918,20449,VERB,25367,4918,0.19387393069736272,True,0.9969962239265442,2.0216903686523438,2.0075013637542725
be,2244,14854,VERB,17098,2244,0.13124342028307404,True,0.9938652515411377,2.9554290771484375,2.094831943511963
know,8253,8364,VERB,16617,8253,0.49666004693988086,True,0.988494873046875,2.11362886428833,2.1384999752044678
state,7797,2844,NOUN,10641,2844,0.2672681138990696,True,0.9950228929519653,2.1119120121002197,2.1574389934539795
work,5700,4110,NOUN,9810,4110,0.41896024464831805,True,0.9981110692024231,1.7803226709365845,2.077375650405884
write,2713,6315,VERB,9028,2713,0.300509525919362,True,0.9955806136131287,2.54827880859375,2.0779192447662354
call,696,8039,VERB,8735,696,0.07967945048654837,True,0.9941844344139099,2.2750301361083984,1.9370206594467163
form,4877,3752,NOUN,8629,3752,0.4348128404218334,True,0.99284428358078,2.0128555297851562,2.376434564590454
name,5757,2746,NOUN,8503,2746,0.32294484299658943,True,0.9864507913589478,1.8193045854568481,2.287595748901367
life,5386,2693,NOUN,8079,2693,0.3333333333333333,True,0.996525228023529,2.0860347747802734,2.1491551399230957
base,2829,5238,VERB,8067,2829,0.3506879880996653,True,0.9938004612922668,2.394935369491577,2.188474655151367
begin,947,5907,VERB,6854,947,0.1381674934344908,True,0.9947049021720886,2.921910524368286,1.9879544973373413
lead,560,6049,VERB,6609,560,0.08473293993039795,True,0.9949125647544861,2.1801929473876953,2.3132147789001465
film,5655,378,NOUN,6033,378,0.0626553953257086,True,0.9962761998176575,1.6997932195663452,2.2491137981414795
play,1323,4487,VERB,5810,1323,0.22771084337349398,True,0.9966282248497009,1.8664593696594238,2.0348730087280273
force,4432,1331,NOUN,5763,1331,0.23095609925386085,True,0.9925557374954224,2.251854181289673,2.0143771171569824
end,3925,1818,NOUN,5743,1818,0.3165592895699112,True,0.9961128234863281,2.035503625869751,2.158266067504883
